NAME OF ISSUER      TITLE OF CLASS      CUISP       VALUE       SSHPRNAMT       SSHPRNAMTTYPE       VOTINGSOLE      VOTINGSHARED 
ABBOTT LABS        COM         002824100        2622        62000       SH       62000        0
ABERCROMBIE  FITCH CO        CL A         002896207        485        30500       SH       30500        0
ACTIVISION BLIZZARD INC        COM         00507V109        3407        76910       SH       76910        0
ADOBE SYS INC        COM         00724F101        13665        125900       SH       125900        0
AGCO CORP        COM         001084102        276        5600       SH       5600        0
AGNICO EAGLE MINES LTD        COM         008474108        10074        185932       SH       185932        0
AIR PRODS  CHEMS INC        COM         009158106        541        3600       SH       3600        0
ALLIANCE DATA SYSTEMS CORP        COM         018581108        18250        85071       SH       85071        0
ALPHABET INC        CAP STK CL A         02079K305        5387        6700       SH       6700        0
ALTRIA GROUP INC        COM         02209S103        1138        18000       SH       18000        0
AMC NETWORKS INC        CL A         00164V103        856        16500       SH       16500        0
AMERICAN EXPRESS CO        COM         025816109        1326        20700       SH       20700        0
AMERIPRISE FINL INC        COM         03076C106        1087        10900       SH       10900        0
AMERISOURCEBERGEN CORP        COM         03073E105        8255        102192       SH       102192        0
ANADARKO PETE CORP        COM         032511107        9851        155480       SH       155480        0
ANALOG DEVICES INC        COM         032654105        6783        105239       SH       105239        0
ANGLOGOLD ASHANTI LTD        SPONSORED ADR         035128206        5455        342678       SH       342678        0
ANTHEM INC        COM         036752103        9358        74679       SH       74679        0
AON PLC        SHS CL A         G0408V102        1189        10569       SH       10569        0
APACHE CORP        COM         037411105        6694        104800       SH       104800        0
APPLE INC        COM         037833100        39183        346600       SH       346600        0
APPLIED MATLS INC        COM         038222105        22271        738683       SH       738683        0
ASHLAND GLOBAL HLDGS INC        COM         044186104        383        3300       SH       3300        0
AUTOMATIC DATA PROCESSING IN        COM         053015103        238        2700       SH       2700        0
AUTONATION INC        COM         05329W102        468        9618       SH       9618        0
AUTOZONE INC        COM         053332102        2520        3280       SH       3280        0
AVALONBAY CMNTYS INC        COM         053484101        320        1800       SH       1800        0
B2GOLD CORP        COM         11777Q209        2284        872500       SH       872500        0
BALL CORP        COM         058498106        229        2800       SH       2800        0
BANK NEW YORK MELLON CORP        COM         064058100        4227        106000       SH       106000        0
BARD C R INC        COM         067383109        1551        6915       SH       6915        0
BECTON DICKINSON  CO        COM         075887109        899        5000       SH       5000        0
BED BATH  BEYOND INC        COM         075896100        13615        315810       SH       315810        0
BEMIS INC        COM         081437105        230        4500       SH       4500        0
BHP BILLITON LTD        SPONSORED ADR         088606108        16237        468611       SH       468611        0
BIOGEN INC        COM         09062X103        282        900       SH       900        0
BIOMARIN PHARMACEUTICAL INC        COM         09061G101        826        8926       SH       8926        0
BLACKROCK INC        COM         09247X101        3443        9500       SH       9500        0
BOEING CO        COM         097023105        640        4856       SH       4856        0
BORGWARNER INC        COM         099724106        2547        72400       SH       72400        0
BOSTON SCIENTIFIC CORP        COM         101137107        1211        50900       SH       50900        0
BP PLC        SPONSORED ADR         055622104        16311        463900       SH       463900        0
BRINKS CO        COM         109696104        256        6893       SH       6893        0
BRISTOL MYERS SQUIBB CO        COM         110122108        21060        390577       SH       390577        0
C H ROBINSON WORLDWIDE INC        COM NEW         12541W209        4862        69000       SH       69000        0
